  1, 0.2072
  2, 0.0743
  3, 0.2143
  4, 0.0775
  5, 0.0990
  6, 0.2816
  7, 0.2390
  8, 0.2299
  9, 0.3126
 10, 0.2659
 11, 0.1690
 12, 0.2240
 13, 0.1522
 14, 0.3339
 15, 0.1898
 16, 0.1888
 17, 0.1325
 18, 0.2869
 19, 0.1975
 20, 0.2023
 21, 0.1165
 22, 0.2693
 23, 0.1345
 24, 0.1771
 25, 0.1410
 26, 0.2054
 27, 0.1391
 28, 0.1701
 29, 0.1651
 30, 0.1283
 31, 0.2651
 32, 0.4176
 33, 0.1527
 34, 0.0977
 35, 0.1454
 36, 0.1159
 37, 0.1266
 38, 0.1297
 39, 0.4430
 40, 0.3204
 41, 0.1817
 42, 0.3440
 43, 0.3740
 44, 0.1196
 45, 0.1100
 46, 0.1454
 47, 0.2559
 48, 0.2453
 49, 0.2811
 50, 0.1160
 51, 0.0998
 52, 0.1056
 53, 0.1174
 54, 0.1157
 55, 0.1561
 56, 0.2394
 57, 0.2031
 58, 0.1924
 59, 0.1491
 60, 0.1144
 61, 0.1171
 62, 0.1260
 63, 0.1260
 64, 0.3298
 65, 0.1446
 66, 0.1079
 67, 0.3457
 68, 0.0968
 69, 0.1678
 70, 0.1415
 71, 0.1606
 72, 0.1376
 73, 0.1522
 74, 0.2834
 75, 0.1442
 76, 0.1238
 77, 0.3069
 78, 0.1087
 79, 0.1365
 80, 0.1885
 81, 0.2446
 82, 0.1196
 83, 0.1661
 84, 0.1877
 85, 0.2923
 86, 0.1647
 87, 0.2201
 88, 0.1703
 89, 0.1352
 90, 0.2458
 91, 0.1802
 92, 0.2668
 93, 0.3292
 94, 0.2269
 95, 0.1932
 96, 0.1238
 97, 0.2101
 98, 0.1276
 99, 0.1608
100, 0.1377
